%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1546977335029724859,201254,1546977335029315972,,-10.9139482582,-6.75824331162,9.3687827298,0.483095222588,-0.947718326601,0.465736463405
1546977335037875035,201255,1546977335037433210,,-12.4562563229,-6.76206306828,9.06347912664,0.421362627043,-0.949067760557,0.539859162468
1546977335045806412,201256,1546977335045411948,,-14.0564525216,-7.96469314672,8.75776394912,0.41211524229,-0.943331795737,0.54324755456
1546977335053973247,201257,1546977335053428485,,-11.4331818616,-6.75034104332,9.38230301537,0.459139055566,-0.962107690908,0.475289683145
1546977335061765872,201258,1546977335061404995,,-12.4157200523,-7.20221179194,9.07024580851,0.451739463663,-0.982171089414,0.509345728653
1546977335070348616,201259,1546977335069637350,,-14.0913080956,-7.84266283878,8.78847831805,0.370036007994,-0.970471367125,0.538018633381
1546977335077888963,201260,1546977335077428657,,-14.0667093188,-8.28377661118,8.65434223811,0.382463002704,-0.900758063786,0.509848265609
1546977335085704877,201261,1546977335085396900,,-14.2528648353,-8.37094426741,8.66851481237,0.393401756116,-0.930833298977,0.510281243798
1546977335093743292,201262,1546977335093388940,,-13.1182778131,-7.27479065004,8.72625221131,0.368824255579,-0.925978689847,0.550398156134
1546977335101704733,201263,1546977335101389170,,-11.4095331776,-6.87328057305,9.55836136452,0.477549860254,-0.988268995751,0.482095405054
1546977335109732830,201264,1546977335109361550,,-13.9943776692,-7.88547036088,8.84087844113,0.377955071777,-0.964462907418,0.562620227142
1546977335117686054,201265,1546977335117356467,,-13.7269742987,-7.56758860409,8.939708575,0.419745841051,-0.999661216172,0.518999656066
1546977335125782075,201266,1546977335125393102,,-13.0214403654,-7.84912920837,9.21457496896,0.469399725703,-0.994736283346,0.516705493239
1546977335134047135,201267,1546977335133446589,,-13.0806357765,-7.69842319897,9.06283449783,0.455065535815,-0.975814220874,0.497474069233
1546977335141799589,201268,1546977335141377763,,-13.2935555926,-7.61548489327,9.00775323531,0.419331949929,-0.951504331123,0.509551731491
1546977335149989026,201269,1546977335149497224,,-11.3804190426,-6.50580506028,8.99990226124,0.422609379934,-0.910822476492,0.501177492781
1546977335157710012,201270,1546977335157375426,,-14.5871354559,-8.57279342443,8.49621002525,0.363335753395,-0.928516849795,0.522480123956
1546977335166264557,201271,1546977335165550001,,-12.9035313331,-7.95307427329,9.15353251545,0.492232156834,-0.985688642793,0.484141527258
1546977335173785218,201272,1546977335173422999,,-12.7792296521,-7.8884388183,9.1319087774,0.453906001976,-1.00001570636,0.457336574035
1546977335182013742,201273,1546977335181488125,,-10.2414991612,-6.30699951819,9.26609818634,0.447484765493,-0.917231738369,0.487819906151
1546977335189720292,201274,1546977335189361466,,-11.357321605,-6.93543700263,9.2037433011,0.463061212031,-0.92489253502,0.507377447399
1546977335197985838,201275,1546977335197490075,,-14.7504449728,-7.72124780698,8.52747974757,0.353862388852,-0.97700421445,0.558309772157
1546977335206004069,201276,1546977335205476230,,-13.155596435,-7.72048318893,8.72980162357,0.372862148069,-0.927564055379,0.502537130975
1546977335214125634,201277,1546977335213601048,,-12.9206555857,-7.85145637064,8.65360899174,0.399502725801,-0.884042716464,0.497163582433
1546977335222063372,201278,1546977335221503874,,-13.2545494158,-7.19721101408,9.04977732731,0.413008344316,-0.973349820508,0.517452451991
1546977335229969958,201279,1546977335229470731,,-14.2406477696,-7.63254731827,8.72045800942,0.358249922172,-0.949100227268,0.529052004729
1546977335238293280,201280,1546977335237693564,,-14.1387410969,-7.86573599793,8.93284258935,0.377614798916,-0.952727501636,0.537596843912
1546977335245936504,201281,1546977335245434933,,-14.3425914329,-7.68667143849,8.85075770772,0.419079167245,-0.980163954231,0.556069587725
1546977335253965442,201282,1546977335253437739,,-10.9216138483,-7.03078551438,9.35042790925,0.49774242573,-0.920780060154,0.44973238163
1546977335262059355,201283,1546977335261524735,,-14.3580051041,-8.18535676442,8.54776685455,0.394498665399,-0.951788468569,0.512979518602
1546977335270029895,201284,1546977335269516859,,-14.3855611741,-8.04330222055,8.70231034008,0.415794466089,-0.956503075046,0.514271434821
1546977335277935292,201285,1546977335277406076,,-14.4627687684,-8.05609768912,8.89295164993,0.417719587453,-0.964965811066,0.523513806951
1546977335285933595,201286,1546977335285428017,,-13.1195780227,-7.65317754078,8.53127571521,0.35873713091,-0.886932902352,0.492628288509
1546977335293911053,201287,1546977335293442039,,-12.5688241253,-7.25912834767,9.14428942896,0.415773181763,-0.979042066196,0.485625556127
1546977335302001301,201288,1546977335301559857,,-13.5278661412,-7.74731744081,9.02970339778,0.414669230561,-0.983390110758,0.501522066763
1546977335310002075,201289,1546977335309543836,,-11.0655903747,-6.9545448349,8.98210695554,0.429829519738,-0.881729003656,0.476063727503
1546977335318101305,201290,1546977335317599757,,-12.3384635508,-7.2343998497,8.96766628864,0.417409060965,-0.926722408788,0.512203743257
1546977335326457905,201291,1546977335325687028,,-12.9709584755,-7.46579910515,8.94185371774,0.428759407119,-0.948950768323,0.508719773957
1546977335334033264,201292,1546977335333534699,,-12.5962472286,-7.76140492131,8.69354324335,0.3983701884,-0.901051486531,0.473166731629
1546977335341744207,201293,1546977335341371562,,-14.3383631931,-8.27014873096,9.02150470421,0.406644692889,-0.995278292276,0.505874006281
1546977335350077132,201294,1546977335349503183,,-12.9089961599,-7.13121143872,9.0911404345,0.433946912433,-0.971092588875,0.509218942624
1546977335358052820,201295,1546977335357540882,,-16.1153752336,-8.70740393344,8.39955016885,0.347610295431,-0.985420631853,0.573001042139
1546977335366203029,201296,1546977335365653454,,-13.5134507424,-7.55470354848,8.82408508363,0.39674306989,-0.958051203405,0.514477674008
1546977335374030156,201297,1546977335373515409,,-13.2803795524,-7.6433928973,9.02580255225,0.454243767843,-1.00667653845,0.525825863615
1546977335381978591,201298,1546977335381480737,,-12.8277728222,-7.29268425281,9.0350243739,0.429518101989,-0.973895969345,0.51989480356
1546977335390468975,201299,1546977335389663137,,-12.9177247267,-7.74459970827,9.33922244556,0.496529472787,-0.995365856282,0.479495301781
1546977335398164230,201300,1546977335397729701,,-13.4722060854,-7.47501392585,8.59295363822,0.346370589707,-0.895671308269,0.537747150598
1546977335406062681,201301,1546977335405558650,,-12.9020480203,-7.56837766226,8.80858432845,0.392365282127,-0.904966695457,0.48550892781
1546977335413966929,201302,1546977335413498097,,-13.8869169258,-8.01588137618,8.8510204893,0.419341233471,-0.971117497968,0.49263107253
1546977335422006421,201303,1546977335421471868,,-14.4386728084,-8.01424306218,8.76367447356,0.403633955437,-0.956029388982,0.535291951431
1546977335429931667,201304,1546977335429488172,,-13.1534333815,-6.92201754376,9.22111503666,0.426704664732,-0.998539336118,0.546706044669
1546977335438166059,201305,1546977335437594610,,-12.8531749196,-7.30412278629,8.75231022571,0.403544437695,-0.952436466653,0.520432477595
1546977335446025909,201306,1546977335445476505,,-14.9265325836,-8.48835567373,8.34369366172,0.360037783005,-0.916987097134,0.499476355939
1546977335454147908,201307,1546977335453620577,,-13.9295342339,-7.8416769601,8.79758086437,0.415141867952,-0.965451826133,0.538603259888
1546977335462191908,201308,1546977335461700190,,-12.5296005688,-7.31569511254,8.98262318748,0.444136979121,-0.942856647434,0.515271354343
1546977335469951783,201309,1546977335469491407,,-13.4044246653,-8.0693412737,8.82005042955,0.434482770581,-0.941767574905,0.501516226003
1546977335478188516,201310,1546977335477605313,,-12.5129599391,-7.15264045807,9.00733677955,0.431724387841,-0.955917734754,0.516581364795
1546977335485985876,201311,1546977335485504097,,-11.1904500593,-6.79371216988,9.12907806951,0.427709483978,-0.927181484335,0.472790803357
1546977335493975669,201312,1546977335493516332,,-12.0594633991,-7.2008564565,9.20708689317,0.46213126705,-0.956624452078,0.503393941445
1546977335501983933,201313,1546977335501539992,,-12.705748432,-7.43282314532,9.03415198874,0.433560019884,-0.970163753659,0.502386248999
1546977335510013073,201314,1546977335509537054,,-12.4204524286,-7.04345897154,8.79208937118,0.386320392741,-0.911795927424,0.512344348191
1546977335518161866,201315,1546977335517633721,,-12.7538590867,-6.9855532986,9.20696833881,0.442292561407,-0.999805432875,0.536930980665
1546977335526176779,201316,1546977335525558411,,-11.725908332,-6.74217393825,9.09044475529,0.439328401261,-0.964345070928,0.50249039031
1546977335534094368,201317,1546977335533529222,,-11.5849211863,-7.21410281496,9.30196418306,0.46659194001,-0.969548172888,0.440982724486
1546977335542331329,201318,1546977335541590764,,-11.446520573,-6.59650887825,9.30647909515,0.441271188445,-0.957852618486,0.478430003149
1546977335550335548,201319,1546977335549677430,,-12.2751610703,-7.06056524305,8.87681170875,0.373238605571,-0.914360377618,0.509258783086
1546977335558131799,201320,1546977335557561950,,-14.079125498,-7.90710118455,8.70217167772,0.374185180068,-0.912382500637,0.540516607706
1546977335566082560,201321,1546977335565570188,,-11.1069432404,-6.62953212702,9.36281001176,0.486370434245,-0.965249250574,0.491508863186
1546977335574102515,201322,1546977335573530844,,-11.7700928863,-6.5571821081,9.38338341899,0.445858679975,-0.982565422085,0.493667746158
1546977335582256857,201323,1546977335581502147,,-12.9818475705,-6.96555020111,9.12198516713,0.406487262051,-0.985367228598,0.527453914672
1546977335590104006,201324,1546977335589539591,,-11.3440077168,-6.5764983629,9.40829544763,0.464270121004,-1.01448331383,0.496644032345
1546977335597842333,201325,1546977335597444700,,-12.324881239,-7.72493504164,8.94803267064,0.432852720046,-0.907604617519,0.466637918089
1546977335605750536,201326,1546977335605363320,,-12.0856391016,-6.76725352367,9.5406936002,0.472161937293,-0.99632576076,0.528735322643
1546977335613738223,201327,1546977335613388087,,-12.7127996794,-7.36698114541,8.9292829668,0.437641372288,-0.956284947724,0.499746379767
1546977335621698963,201328,1546977335621367976,,-13.2196492133,-7.69844074462,8.82387881332,0.418253060493,-0.930517703715,0.493796746222
1546977335629469907,201329,1546977335629252298,,-11.5522214235,-6.57888380434,9.6755142514,0.479508692929,-1.03156138517,0.474990662561
1546977335637755516,201330,1546977335637415817,,-13.4177282432,-7.60515534198,9.06955687246,0.426632991265,-0.997476475589,0.506859811021
1546977335645611519,201331,1546977335645339791,,-11.8545828177,-6.78297031055,9.08050612684,0.423133659829,-0.944269902758,0.510113248166
1546977335653532682,201332,1546977335653310823,,-13.4306981658,-7.47106030847,9.03092726154,0.40057784035,-0.978617219923,0.561013823274
1546977335661649106,201333,1546977335661377463,,-12.5051150552,-7.11734952808,8.92765677772,0.381016620257,-0.925545735462,0.528985315954
1546977335669670265,201334,1546977335669352855,,-14.0137427053,-7.74313409083,8.79891702912,0.371704415035,-1.00333622612,0.532846667489
1546977335678039679,201335,1546977335677489326,,-12.3616267528,-6.86948213778,9.06411571792,0.399960057184,-0.967688810014,0.510334495145
1546977335686097465,201336,1546977335685565950,,-12.3009677822,-7.76297750784,8.78744062296,0.421197152909,-0.90646984228,0.506630137048
1546977335694040872,201337,1546977335693537330,,-13.5545476569,-7.48257855767,8.77833855314,0.393598861107,-0.939435858403,0.520921644593
1546977335702127394,201338,1546977335701566578,,-12.6655075559,-7.49254514113,9.05749952532,0.460452345438,-0.957217992639,0.471957110277
1546977335710084049,201339,1546977335709549808,,-13.2103418823,-7.72195634179,8.84669670918,0.436427853862,-0.925180481573,0.511985751028
1546977335718049758,201340,1546977335717543253,,-15.4989546045,-7.49944430366,8.45107545157,0.34794920858,-0.996642409612,0.604321078386
1546977335726129584,201341,1546977335725554663,,-14.1818937927,-8.13411495931,8.79523132949,0.452697865632,-0.95805702047,0.529998349747
1546977335734081591,201342,1546977335733529383,,-14.6358426529,-7.81641256795,8.64195087365,0.357583354095,-0.963657401261,0.529863641937
1546977335741953604,201343,1546977335741446573,,-12.6902800987,-7.95245298606,9.06217627111,0.472203490635,-0.951912058141,0.474844258517
1546977335749969690,201344,1546977335749516659,,-13.2461118013,-7.76678283771,8.64560660545,0.414587507098,-0.899948430793,0.501251190225
1546977335757953149,201345,1546977335757432687,,-13.0299546664,-7.29705651067,8.93499002383,0.411943149534,-0.975614457642,0.525795647598
1546977335766053560,201346,1546977335765491092,,-13.7676184813,-7.9131218101,8.76724565148,0.408082404727,-0.972617867876,0.481045713128
1546977335774055571,201347,1546977335773578335,,-15.1151992737,-8.66255939499,8.52455593277,0.371197736403,-0.946144347001,0.52567628333
1546977335781970564,201348,1546977335781485760,,-13.1768136278,-7.55222653652,9.17303345329,0.508975587694,-0.993812145808,0.483578419425
1546977335790815715,201349,1546977335789542488,,-12.8433153868,-7.75044507017,9.0165227929,0.431080896421,-0.966793151613,0.522188657937
1546977335797945771,201350,1546977335797439578,,-13.5583907401,-7.51999365132,9.20954380311,0.433697144486,-1.05523795014,0.536203228187
1546977335806078290,201351,1546977335805605996,,-12.9123546849,-7.21721291384,9.25213819341,0.463584426291,-1.0195921246,0.506150489549
1546977335813991056,201352,1546977335813493317,,-15.4912364866,-7.84261346068,8.70863205705,0.348953484851,-1.04613719122,0.587791062227
1546977335821944591,201353,1546977335821422879,,-13.1504585781,-7.12281925229,9.0494955914,0.403482292737,-0.973153334253,0.5563920963
1546977335830070848,201354,1546977335829537565,,-13.7193703698,-7.7745316881,8.76888821026,0.40223474828,-0.969377855893,0.496499987063
1546977335838881941,201355,1546977335837705786,,-12.696473094,-7.111442736,9.13997794047,0.440904447206,-1.03233745722,0.507463951858
1546977335846059107,201356,1546977335845421002,,-13.9928337679,-7.31433324941,9.03847453895,0.400016056919,-0.984604880799,0.577328525783
1546977335853755423,201357,1546977335853357020,,-13.2328921169,-7.44402011437,8.74043575174,0.390831318802,-0.946378003527,0.506156316781
1546977335862463978,201358,1546977335861441442,,-14.3356678893,-7.39426759125,8.83648973142,0.361546179071,-0.990946069035,0.579514057851
1546977335869541185,201359,1546977335869278556,,-14.1646337201,-8.12360124499,8.9232869188,0.39946312136,-0.962525154488,0.501557586646
1546977335877903606,201360,1546977335877444225,,-12.963197566,-7.64269686473,8.89431752055,0.399552566579,-0.961725648758,0.468429126128
