%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1546977675084514727,243760,1546977675083759723,,-28.3568370233,-10.3820833297,-2.26171617577,-7.99125409913,-2.10656205894,1.9265333869
1546977675092400593,243761,1546977675091709919,,-28.3483779311,-10.2990319138,-1.99333007965,-7.92020466278,-2.09402463215,1.95466378291
1546977675100540568,243762,1546977675099771275,,-28.130899477,-10.345918295,-2.04299215348,-7.84046415805,-2.0406736476,1.92312326267
1546977675108122856,243763,1546977675107648140,,-28.5238121433,-10.3022921896,-2.26080307735,-8.03100575001,-2.11765881361,1.95961965793
1546977675116526537,243764,1546977675115719207,,-28.5436458991,-10.5497183988,-2.05549893019,-8.00438588699,-2.10613928263,1.96274348405
1546977675124046182,243765,1546977675123573455,,-27.7651002878,-10.2097098711,-1.81122412151,-7.77860600982,-2.07156476609,1.89758162645
1546977675132426137,243766,1546977675131757667,,-27.736388541,-10.5174297276,-1.99951293406,-7.85611853331,-2.07538114895,1.89697182076
1546977675140088163,243767,1546977675139605543,,-27.8000615579,-10.5146648816,-1.9554883067,-7.94372205729,-2.11273930892,1.88126218613
1546977675147991065,243768,1546977675147580592,,-27.9791125716,-10.0628992446,-1.88834820996,-7.80223020858,-2.06853345848,1.9356883402
1546977675156397656,243769,1546977675155738620,,-28.5102863159,-10.803168505,-2.2723541232,-8.08905682919,-2.14217773091,1.92213925091
1546977675163914975,243770,1546977675163576982,,-28.1387533973,-10.424868217,-2.15497075536,-8.02086963057,-2.13381503826,1.89518861329
1546977675174669226,243771,1546977675171573454,,-28.4698201728,-10.3785897329,-2.18293724271,-8.06944245665,-2.14736963939,1.92093341766
1546977675179867271,243772,1546977675179533385,,-28.3384521322,-10.4099236069,-2.26066067822,-8.05248339684,-2.14847577835,1.91303073292
1546977675188050355,243773,1546977675187626572,,-28.5437226941,-10.4188895424,-2.19279759852,-8.02994759097,-2.13698185795,1.92162637093
1546977675195712367,243774,1546977675195475798,,-28.3312360592,-10.17654507,-2.13780672038,-8.0496549837,-2.15925897684,1.93725680788
1546977675203717916,243775,1546977675203512057,,-28.8562014184,-10.7404255688,-2.37728942152,-8.17407806755,-2.17691670784,1.98640882856
1546977675211808193,243776,1546977675211548741,,-28.3167437634,-10.7195028205,-2.20983677233,-8.02017500622,-2.1250689418,1.9424286741
1546977675220204461,243777,1546977675219727385,,-28.1876452401,-10.3313243442,-1.93194749406,-7.88323202861,-2.0831304744,1.91037112739
1546977675227722744,243778,1546977675227509885,,-27.9522252304,-10.196771389,-2.07714227346,-7.95313223461,-2.13877646961,1.91109215964
1546977675235739715,243779,1546977675235543594,,-28.3169441503,-10.607279983,-2.18447385319,-8.00506347971,-2.10357484327,1.89531187707
1546977675244411096,243780,1546977675243674048,,-27.9071267665,-10.018417966,-1.72203961582,-7.80958122855,-2.06359342296,1.9071059983
1546977675252686922,243781,1546977675251819242,,-28.5501046962,-10.7459745892,-2.27237000661,-7.990724842,-2.07558062835,1.95138696015
1546977675260244845,243782,1546977675259733485,,-29.2455576431,-10.8159960543,-2.62124519698,-8.26995582524,-2.20175907798,1.98021533033
1546977675268174562,243783,1546977675267660662,,-28.6826605056,-10.7549525834,-2.33323560139,-8.08623917153,-2.12712564524,1.94668709227
1546977675276320867,243784,1546977675275776658,,-29.3802792959,-11.1014741244,-2.78900870612,-8.25048313939,-2.16697102942,2.02209992873
1546977675284563242,243785,1546977675283734505,,-28.1586545092,-10.2645730339,-2.06000271287,-7.96408753777,-2.11920586638,1.89858319245
1546977675292162274,243786,1546977675291700609,,-28.6388025785,-10.4673960288,-2.18242645939,-8.07087590081,-2.11765624389,1.95356766892
1546977675300164298,243787,1546977675299661359,,-29.0391962067,-10.599368203,-2.39406296397,-8.18560692387,-2.16464737343,1.98717989372
1546977675308258299,243788,1546977675307718113,,-28.7402110218,-10.5270296286,-2.55332008536,-8.12864869338,-2.12822377086,1.98116222819
1546977675316312273,243789,1546977675315726167,,-28.2753935894,-10.5055781187,-2.33736472188,-8.03715517056,-2.13392152416,1.92356084206
1546977675324421084,243790,1546977675323753937,,-28.9756062867,-10.6343035047,-2.42187625498,-8.1581724826,-2.17263571184,1.99020120999
1546977675332025047,243791,1546977675331623874,,-28.8022993605,-10.7092629071,-2.42691368773,-8.16904375152,-2.1586798273,1.95732067186
1546977675340224382,243792,1546977675339728499,,-28.4859054565,-10.4669403308,-2.21134998077,-8.04562574136,-2.14317849287,1.95171629393
1546977675348163078,243793,1546977675347548518,,-28.3482927009,-10.855732755,-2.05077618396,-7.90430141414,-2.07464428197,1.95846164046
1546977675356053050,243794,1546977675355651384,,-28.4596541235,-10.4318821532,-2.08797933799,-8.03769428902,-2.13429830765,1.92922158446
1546977675363745289,243795,1546977675363532338,,-28.9867203756,-10.5478345277,-2.37713735248,-8.11137907514,-2.13470878856,1.99521186526
1546977675371713613,243796,1546977675371533020,,-28.7101221597,-10.5713651809,-2.32014292515,-8.06382755909,-2.09464343641,1.95932898822
1546977675380153908,243797,1546977675379683630,,-28.0541942971,-10.4890769617,-1.79524219959,-7.90410725868,-2.09936999083,1.91418067335
1546977675387751092,243798,1546977675387532177,,-28.6640650359,-10.6546452798,-2.4714481722,-8.04224434539,-2.10995482792,1.94883400304
1546977675395694480,243799,1546977675395535177,,-29.4363832109,-10.7003985218,-2.54256744078,-8.31296067168,-2.21974535936,2.00328557024
1546977675403711543,243800,1546977675403539149,,-28.8205657804,-10.5526671967,-2.4112592434,-8.0828897252,-2.12095477653,1.95953219644
1546977675412250619,243801,1546977675411743413,,-29.0703334793,-10.5526940947,-2.39302810691,-8.24624518717,-2.20624595931,1.98137970225
1546977675419793308,243802,1546977675419566820,,-28.856021998,-10.7752882327,-2.2065917253,-8.09418825274,-2.13449757361,1.97379532967
1546977675427745558,243803,1546977675427518615,,-27.9814870675,-10.5277648918,-2.13967782471,-7.93584592659,-2.09683716253,1.91436773706
1546977675435816472,243804,1546977675435559365,,-28.6503474675,-10.3560048044,-2.14838377872,-8.06053393636,-2.13637551097,1.96704223343
1546977675444118575,243805,1546977675443722226,,-28.4931751341,-10.589197466,-2.30636263741,-8.00336951759,-2.08989214238,1.96716623313
1546977675451926809,243806,1546977675451611668,,-28.3936563755,-10.4361722315,-2.05482396514,-7.95219071859,-2.10144239513,1.94331738295
1546977675459896801,243807,1546977675459599516,,-28.2907855633,-10.4034329888,-2.14006533656,-7.97693962543,-2.09347226279,1.96347827602
1546977675468268369,243808,1546977675467715884,,-28.0813485151,-10.2090216762,-1.90477308087,-7.88578371316,-2.08886497119,1.90328363251
1546977675476612707,243809,1546977675475812623,,-27.6993009833,-9.9544457209,-1.65985386307,-7.76295319938,-2.06148942851,1.88777001129
1546977675484179615,243810,1546977675483719486,,-29.0223348626,-10.6409823876,-2.31036592979,-8.06425177246,-2.12290842258,1.99844669777
1546977675492193297,243811,1546977675491680342,,-27.4071525245,-10.089936204,-1.4872987896,-7.66120823602,-2.03578141346,1.89729278834
1546977675500225720,243812,1546977675499728815,,-28.5226850295,-10.4490185292,-2.1175380086,-8.02527788527,-2.13793986703,1.9659949765
1546977675508860961,243813,1546977675507867685,,-28.2981249987,-10.2964658356,-1.79419246713,-7.90579902695,-2.08481933957,1.94545815174
1546977675516298545,243814,1546977675515692779,,-27.5866409678,-10.1733013251,-1.40594624292,-7.63904061653,-2.03003952936,1.90375317379
1546977675524227347,243815,1546977675523706370,,-28.4401036387,-10.5346267314,-2.29050973964,-8.0656300164,-2.15336916991,1.94723660678
1546977675532305720,243816,1546977675531783079,,-28.1941913983,-10.3227818106,-2.01070091261,-7.89221637694,-2.08571406213,1.91474127939
1546977675540303945,243817,1546977675539715967,,-28.3599016132,-10.4853334257,-2.13353460206,-8.00895073152,-2.13754537082,1.91970209858
1546977675548693024,243818,1546977675547893779,,-28.9519561725,-10.875111883,-2.405680207,-8.17012919349,-2.17061496305,1.98702136965
1546977675556192328,243819,1546977675555692792,,-28.3598637349,-10.2429868326,-2.01027106913,-8.00421370232,-2.14639491545,1.91866400618
1546977675564556754,243820,1546977675563822011,,-28.8144722791,-10.8022632705,-2.53166413483,-8.21260776909,-2.19634724141,1.95548604593
1546977675572397801,243821,1546977675571775092,,-29.2193224677,-10.7211966776,-2.37177738143,-8.26154289732,-2.22745928617,2.00973487671
