%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1546977708949036907,247993,1546977708948261151,,-28.5195104421,-10.3616321109,-2.15901371569,-7.94562353841,-2.10512332173,1.9373852551
1546977708956395867,247994,1546977708956124821,,-28.48714679,-10.5441907388,-2.33047332708,-7.97254420603,-2.09561981754,1.9232321425
1546977708964363521,247995,1546977708964102803,,-28.1361006335,-10.3157923134,-2.05386375375,-7.85416948541,-2.0819691092,1.93480232344
1546977708972383724,247996,1546977708972113731,,-28.9312240769,-10.5873104111,-2.15969836857,-8.19626504143,-2.19769905811,1.96909930641
1546977708980486355,247997,1546977708980158470,,-28.7046565709,-10.7437692998,-2.47851994982,-8.1420201657,-2.125855413,1.95491860127
1546977708988335665,247998,1546977708988130235,,-29.1006909426,-10.954838067,-2.50088364532,-8.25550352317,-2.18941864131,2.01841491113
1546977708996642043,247999,1546977708996185170,,-28.3508524705,-10.5371209312,-2.27243229731,-7.95259053536,-2.09656889711,1.92759351688
1546977709004425967,248000,1546977709004217934,,-28.4335216328,-10.2292613031,-2.12337553072,-7.9874478353,-2.1058290635,1.93856886594
1546977709012652382,248001,1546977709012268520,,-28.9906766268,-10.6441189555,-1.86167477148,-8.07580288399,-2.1464312232,1.99064916176
1546977709020305761,248002,1546977709020128435,,-28.7345403817,-10.3758909294,-2.00507113645,-7.96629916902,-2.09491058944,1.94675708853
1546977709028325004,248003,1546977709028128320,,-28.1837033511,-10.2623393287,-1.96482012071,-7.97130609677,-2.1331221394,1.93435961099
1546977709036258784,248004,1546977709036129231,,-28.0915935242,-10.5155500155,-2.46044904208,-7.9179470529,-2.08716411361,1.91170838779
1546977709044703934,248005,1546977709044299086,,-28.350301931,-10.394785318,-2.41547162149,-7.98488893688,-2.09509616624,1.94971999639
1546977709052344390,248006,1546977709052135434,,-29.0128163991,-10.6386013618,-2.31457779509,-8.21216643612,-2.18604654149,1.96752525619
1546977709060688535,248007,1546977709060285565,,-28.3030189842,-10.3679575552,-2.14837916437,-7.91171110643,-2.08143286204,1.94991954907
1546977709068355812,248008,1546977709068159901,,-28.4775844409,-10.5382335442,-2.26047827507,-8.10452015944,-2.1523231785,1.95320320749
1546977709076860607,248009,1546977709076261577,,-28.6991711599,-10.7317380289,-2.48890223386,-8.14121443388,-2.15681294261,1.95745625624
1546977709084367962,248010,1546977709084122722,,-28.7402622125,-10.8214756087,-2.57425165314,-8.27246299043,-2.19083262617,1.93434611296
1546977709092720239,248011,1546977709092307111,,-27.8524795284,-10.5163091138,-2.38904917015,-7.95886844584,-2.11305398497,1.89243725752
1546977709100382423,248012,1546977709100130052,,-28.8421996687,-10.5931151676,-2.37765418751,-8.11003959256,-2.14930775578,1.97848149345
1546977709108741961,248013,1546977709108221903,,-28.2991313218,-10.688486956,-2.1589632092,-7.9944596676,-2.13856835318,1.92129313629
1546977709116368478,248014,1546977709116133270,,-29.0370643068,-10.8452368414,-2.43942392568,-8.20959457049,-2.17207524908,2.01558278575
1546977709124324504,248015,1546977709124109013,,-29.3234750163,-10.8231059376,-2.17401865463,-8.27308630264,-2.20459380443,2.02332115928
1546977709132320483,248016,1546977709132108802,,-27.9646784477,-10.4278213814,-2.5084516921,-7.93866793146,-2.10179805511,1.88812820019
1546977709140398496,248017,1546977709140146434,,-28.5624392884,-10.6331039918,-2.39432080401,-8.07186957073,-2.14992060927,1.96582574825
